Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.01,3.570001,70,23.1711618,0.0722,221.2684
0.01,3.580001,70,24.0293512,0.07198,229.4634
0.01,3.590001,70,24.0293532,0.07524,229.4634
0.01,3.600001,70,23.7841542,0.06826,227.1218
0.01,3.610001,70,23.4163584,0.06238,223.6098
0.01,3.620001,70,23.9067538,0.07432,228.2926
0.01,3.630001,70,23.9067536,0.0714,228.2928
0.01,3.640001,70,24.0293522,0.06666,229.4634
0.01,3.650001,70,23.661556,0.0565,225.9512
0.01,3.660001,70,23.5389576,0.08278,224.7806
0.01,3.670001,70,23.9067534,0.07204,228.2926
0.01,3.680001,70,23.293759,0.07336,222.439
0.01,3.690001,70,24.1519504,0.07744,230.634
0.01,3.700001,70,24.1519516,0.07588,230.6342
0.01,3.710001,70,24.2745496,0.07252,231.805
0.01,3.720001,70,23.4163582,0.06126,223.6098
0.01,3.730001,70,24.029352,0.0622,229.4632
0.01,3.740001,70,23.2937598,0.06804,222.439
0.01,3.750001,70,24.2745498,0.07138,231.8048
0.01,3.760001,70,23.293759,0.07874,222.439
0.01,3.770001,70,24.0293512,0.0848,229.4632
0.01,3.780001,70,23.538958,0.0838,224.7804
0.01,3.790001,70,24.5197462,0.06616,234.1462
0.01,3.800001,70,22.9259642,0.06954,218.9268
0.01,3.810001,70,23.7841556,0.07854,227.122
0.01,3.820001,70,24.5197472,0.07086,234.1466
0.01,3.830001,70,23.6615556,0.05882,225.9512
0.01,3.840001,70,23.171162,0.08246,221.2684
0.01,3.850001,70,23.906754,0.08066,228.2928
0.01,3.860001,70,23.9067538,0.07692,228.2928
0.01,3.870001,70,23.6615564,0.06792,225.9512
0.01,3.880001,70,24.2745494,0.06882,231.805
0.01,3.890001,70,23.538958,0.06698,224.7804
0.01,3.900001,70,23.7841538,0.06418,227.1218
0.01,3.910001,70,24.1519516,0.06104,230.6342
0.01,3.920001,70,23.416359,0.07398,223.6098
0.01,3.930001,70,23.4163586,0.07836,223.6098
0.01,3.940001,70,24.1519508,0.08402,230.634
0.01,3.950001,70,24.0293522,0.07342,229.4634
0.01,3.960001,70,23.1711614,0.07254,221.2684
0.01,3.970001,70,23.7841556,0.0584,227.122
0.01,3.980001,70,24.0293522,0.07058,229.4636
0.01,3.990001,70,24.5197464,0.06752,234.1462
0.01,4.000001,70,22.9259638,0.0684,218.9268
0.01,4.010001,70,24.274549,0.0652,231.8048
0.01,4.020001,70,23.4163594,0.0815,223.6096
0.01,4.030001,70,23.9067524,0.09246,228.2926
0.01,4.040001,70,23.2937596,0.0696,222.439
0.01,4.050001,70,24.5197466,0.0717,234.1462
0.01,4.060001,70,23.9067538,0.07594,228.2928
0.01,4.070001,70,24.3971476,0.0539,232.9756
0.01,4.080001,70,23.0485626,0.05936,220.0974
0.01,4.090001,70,23.9067526,0.06092,228.2926
0.01,4.100001,70,23.906754,0.08312,228.2926
0.01,4.110001,70,24.274549,0.0747,231.805
0.01,4.120001,70,22.9259642,0.07038,218.9268
0.01,4.130001,70,23.7841556,0.06826,227.122
0.01,4.140001,70,24.2745498,0.0729,231.805
0.01,4.150001,70,23.4163584,0.06362,223.6098
0.01,4.160001,70,23.5389578,0.0647,224.7804
0.01,4.170001,70,24.3971482,0.08114,232.9756
0.01,4.180001,70,24.2745492,0.06152,231.8048
0.01,4.190001,70,23.4163592,0.06104,223.6098
0.01,4.200001,70,23.2937602,0.0687,222.4392
0.01,4.210001,70,23.538958,0.07028,224.7804
0.01,4.220001,70,24.029351,0.08404,229.4632
0.01,4.230001,70,24.2745496,0.06608,231.805
0.01,4.240001,70,23.4163596,0.07806,223.6098
0.01,4.250001,70,23.7841548,0.06982,227.122
0.01,4.260001,70,23.784155,0.06672,227.122
0.01,4.270001,70,23.9067542,0.0698,228.2928
0.01,4.280001,70,23.2937598,0.0687,222.439
0.01,4.290001,70,24.029352,0.0853,229.4634
0.01,4.300001,70,24.0293522,0.0703,229.4634
0.01,4.310001,70,23.2937596,0.07628,222.439
0.01,4.320001,70,23.7841554,0.07644,227.1218
0.01,4.330001,70,24.3971476,0.07504,232.9756
0.01,4.340001,70,23.5389578,0.07194,224.7806
0.01,4.350001,70,23.9067536,0.05746,228.2928
0.01,4.360001,70,23.784155,0.07406,227.122
0.01,4.370001,70,24.1519506,0.0605,230.634
0.01,4.380001,70,22.9259638,0.07826,218.9268
0.01,4.390001,70,23.6615566,0.08544,225.9514
0.01,4.400001,70,24.397149,0.08794,232.9758
0.01,4.410001,70,24.2745502,0.08214,231.8052
0.01,4.420001,70,24.0293524,0.06682,229.4634
0.01,4.430001,70,23.2937596,0.08534,222.439
0.01,4.440001,70,23.7841538,0.0558,227.1218
0.01,4.450001,70,23.7841552,0.06754,227.1218
0.01,4.460001,70,24.7649436,0.06158,236.4878
0.01,4.470001,70,22.4355686,0.07962,214.2438
0.01,4.480001,70,24.1519508,0.07426,230.634
0.01,4.490001,70,24.0293522,0.06162,229.4634
0.01,4.500001,70,23.9067532,0.0795,228.2926
0.01,4.510001,70,22.9259638,0.0695,218.9268
0.01,4.520001,70,24.6423454,0.06192,235.3172
0.01,4.530001,70,24.0293528,0.05352,229.4634
0.01,4.540001,70,23.5389572,0.0611,224.7806
0.01,4.550001,70,24.0293528,0.06734,229.4634
0.01,4.560001,70,23.0485632,0.0689,220.0976
0.01,4.570001,70,23.9067524,0.08554,228.2926
0.01,4.580001,70,24.0293526,0.07908,229.4634
0.01,4.590001,70,23.7841548,0.07366,227.122
0.01,4.600001,70,23.2937598,0.0595,222.439
0.01,4.610001,70,24.2745492,0.06398,231.8046
0.01,4.620001,70,23.9067536,0.0633,228.2926
0.01,4.630001,70,23.5389578,0.06164,224.7806
0.01,4.640001,70,24.0293524,0.07256,229.4636
0.01,4.650001,70,23.9067534,0.07702,228.2928
0.01,4.660001,70,23.6615566,0.07036,225.9512
0.01,4.670001,70,23.0485632,0.06778,220.0976
0.01,4.680001,70,24.2745494,0.0721,231.805
0.01,4.690001,70,23.9067544,0.07066,228.2928
0.01,4.700001,70,24.274549,0.0545,231.805
0.01,4.710001,70,23.416359,0.07434,223.6098
0.01,4.720001,70,24.0293518,0.07518,229.4634
0.01,4.730001,70,23.4163584,0.08492,223.6098
0.01,4.740001,70,23.5389574,0.07096,224.7804
0.01,4.750001,70,23.2937596,0.09044,222.439
0.01,4.760001,70,25.1327398,0.08404,240
0.01,4.770001,70,23.7841554,0.0724,227.122
0.01,4.780001,70,24.1519508,0.0554,230.6342
0.01,4.790001,70,23.0485624,0.0774,220.0976
0.01,4.800001,70,24.0293524,0.06682,229.4632
0.01,4.810001,70,24.0293518,0.06398,229.4634
0.01,4.820001,70,23.7841552,0.06856,227.122
0.01,4.830001,70,23.0485624,0.07394,220.0976
0.01,4.840001,70,24.3971488,0.07352,232.9756
0.01,4.850001,70,23.9067538,0.05816,228.2926
0.01,4.860001,70,23.4163588,0.06936,223.6098
0.01,4.870001,70,24.2745506,0.0841,231.8052
0.01,4.880001,70,23.784155,0.07056,227.122
0.01,4.890001,70,23.6615556,0.068,225.9512
0.01,4.900001,70,23.7841548,0.06684,227.1218
0.01,4.910001,70,23.2937594,0.07826,222.439
0.01,4.920001,70,23.784154,0.07044,227.122
0.01,4.930001,70,24.2745498,0.07976,231.8048
0.01,4.940001,70,24.0293518,0.0767,229.4634
0.01,4.950001,70,23.171161,0.0638,221.2682
0.01,4.960001,70,23.9067532,0.06734,228.2926
0.01,4.970001,70,24.0293522,0.06424,229.4634
0.01,4.980001,70,23.9067536,0.07458,228.2926
0.01,4.990001,70,23.7841548,0.06154,227.122
0.01,5.000001,70,23.7841556,0.06468,227.122
